epoch (ms);Accelerometer_x;Accelerometer_y;Accelerometer_z;Gyroscope_x;Gyroscope_y;Gyroscope_z;Participants;Label;Category;Set
11.1.2019 15:10;-0.147;1.1366666666666667;-0.16;3.2681999999999993;15.183000000000002;-28.756;A;bench;heavy;86
11.1.2019 15:10;-0.1805;0.902;-0.20350000000000001;syys.76;maalis.14;-3.1950000000000003;A;bench;heavy;86
11.1.2019 15:10;-0.19200000000000003;0.9183333333333333;-0.2333333333333333;-2.5368;-1.0732;maalis.82;A;bench;heavy;86
2019-01-11 15:10:13.000;-0.16849999999999998;0.949;-0.21000000000000002;-10.5364;-1.122;12.1098;A;bench;heavy;86
11.1.2019 15:10;-0.11433333333333333;0.9716666666666667;-0.154;-26.280399999999997;9.183;27.683;A;bench;heavy;86
11.1.2019 15:10;-0.013;0.7955;-0.10899999999999999;-6.5486;3.0367999999999995;15.938999999999998;A;bench;heavy;86
11.1.2019 15:10;0.006000000000000001;0.9279999999999999;-0.08433333333333333;10.402600000000001;-9.317;-4.061;A;bench;heavy;86
11.1.2019 15:10;-0.0185;0.9615;-0.0915;huhti.72;-3.7683999999999997;-1.6829999999999998;A;bench;heavy;86
2019-01-11 15:10:14.000;-0.02466666666666667;0.9603333333333333;-0.11399999999999999;huhti.89;-2.622;-2.8777999999999997;A;bench;heavy;86
11.1.2019 15:10;-0.040999999999999995;0.8400000000000001;-0.15250000000000002;12.073;-7.1952;-12.1098;A;bench;heavy;86
11.1.2019 15:10;-0.09066666666666667;0.8456666666666667;-0.207;13.183000000000002;-6.7928;-19.0854;A;bench;heavy;86
11.1.2019 15:10;-0.1355;0.8714999999999999;-0.2155;7.0122;-7.5120000000000005;-2.0488;A;bench;heavy;86
11.1.2019 15:10;-0.13833333333333334;0.9396666666666667;-0.157;-3.4878;-15.4268;17.1342;A;bench;heavy;86
2019-01-11 15:10:15.000;-0.16649999999999998;1.423;-0.14500000000000002;-12.7924;0.2562000000000005;-8.0;A;bench;heavy;86
11.1.2019 15:10;-0.17666666666666667;1.0553333333333332;-0.14033333333333334;huhti.78;loka.56;-16.8416;A;bench;heavy;86
11.1.2019 15:10;-0.1885;0.886;-0.196;heinä.08;3.939;-0.06120000000000001;A;bench;heavy;86
11.1.2019 15:10;-0.18600000000000003;0.9233333333333333;-0.20233333333333334;1.4145999999999999;tammi.34;6.926599999999999;A;bench;heavy;86
11.1.2019 15:10;-0.16299999999999998;0.957;-0.214;-4.2318;-1.6095999999999997;marras.56;A;bench;heavy;86
2019-01-11 15:10:16.000;-0.109;0.9666666666666667;-0.15666666666666668;-14.243799999999998;-1.8780000000000001;20.8536;A;bench;heavy;86
11.1.2019 15:10;-0.018500000000000003;0.965;-0.10350000000000001;-23.6952;22.5854;24.061;A;bench;heavy;86
11.1.2019 15:10;0.017333333333333336;0.8053333333333333;-0.12266666666666666;2.1466000000000003;-7.3658;helmi.02;A;bench;heavy;86
11.1.2019 15:10;0.014499999999999999;1.018;-0.0535;heinä.72;-10.463399999999998;-2.683;A;bench;heavy;86
11.1.2019 15:10;0.017;0.9703333333333334;-0.05666666666666667;huhti.46;-4.7316;-0.048799999999999996;A;bench;heavy;86
2019-01-11 15:10:17.000;0.0155;0.963;-0.092;touko.96;-1.7073999999999998;-2.634;A;bench;heavy;86
11.1.2019 15:10;-0.012333333333333333;0.9566666666666667;-0.11666666666666668;3.2560000000000002;-2.6342;-0.2071999999999999;A;bench;heavy;86
11.1.2019 15:10;-0.0225;0.9075;-0.14150000000000001;7.097800000000001;-3.622;-9.0244;A;bench;heavy;86
11.1.2019 15:10;-0.05266666666666667;0.8326666666666666;-0.17666666666666667;14.3412;-9.0488;-22.3782;A;bench;heavy;86
11.1.2019 15:10;-0.11;0.8685;-0.20750000000000002;16.7194;-4.5368;-10.5244;A;bench;heavy;86
2019-01-11 15:10:18.000;-0.13466666666666666;0.895;-0.19933333333333333;-4.878;-10.866;14.707400000000002;A;bench;heavy;86
11.1.2019 15:10;-0.122;1.1145;-0.191;-14.3048;-16.817;loka.32;A;bench;heavy;86
11.1.2019 15:10;-0.16566666666666666;1.2956666666666667;-0.11433333333333333;4.622;marras.82;-20.866;A;bench;heavy;86
11.1.2019 15:10;-0.172;0.878;-0.1725;-6.4268;8.0124;-15.182999999999998;A;bench;heavy;86
11.1.2019 15:10;-0.19399999999999998;0.9103333333333333;-0.17833333333333332;-2.4512;kesä.62;-2.4023999999999996;A;bench;heavy;86
2019-01-11 15:10:19.000;-0.1775;0.928;-0.1535;5.122;-3.5366;8.0;A;bench;heavy;86
11.1.2019 15:10;-0.19000000000000003;0.955;-0.141;-2.244;1.8416000000000003;helmi.14;A;bench;heavy;86
11.1.2019 15:10;-0.17099999999999999;0.977;-0.147;-2.3777999999999997;-6.6096;15.8416;A;bench;heavy;86
11.1.2019 15:10;-0.11466666666666665;0.9883333333333333;-0.11599999999999999;-23.695;elo.36;27.9026;A;bench;heavy;86
11.1.2019 15:10;-0.0115;0.8105;-0.0905;-0.5122;8.touko;18.061;A;bench;heavy;86
2019-01-11 15:10:20.000;0.017666666666666667;0.9476666666666667;-0.07833333333333334;loka.66;-10.7194;-3.561;A;bench;heavy;86
11.1.2019 15:10;0.002;0.933;-0.1125;3.0002;-3.9878;-0.35379999999999995;A;bench;heavy;86
11.1.2019 15:10;-0.004;0.9743333333333334;-0.09800000000000002;3.0002;-4.3294;-2.6218;A;bench;heavy;86
11.1.2019 15:10;-0.01;0.9635;-0.10350000000000001;2.378;-3.5851999999999995;-2.5732;A;bench;heavy;86
11.1.2019 15:10;-0.024666666666666667;0.8809999999999999;-0.1426666666666667;13.219400000000002;-6.561;-12.7438;A;bench;heavy;86
2019-01-11 15:10:21.000;-0.0785;0.847;-0.1905;15.365799999999998;-5.6952;-18.4756;A;bench;heavy;86
11.1.2019 15:10;-0.124;0.8733333333333334;-0.229;16.1338;-11.4512;-8.378;A;bench;heavy;86
11.1.2019 15:10;-0.17149999999999999;0.908;-0.21999999999999997;-11.0244;-17.1096;1.0732;A;bench;heavy;86
11.1.2019 15:10;-0.17400000000000002;1.0926666666666667;-0.15333333333333335;-4.9636000000000005;-16.4026;21.9026;A;bench;heavy;86
11.1.2019 15:10;-0.2195;1.4024999999999999;-0.109;-7.5244;18.6706;-22.6828;A;bench;heavy;86
2019-01-11 15:10:22.000;-0.19200000000000003;0.8716666666666667;-0.15566666666666665;helmi.98;8.706999999999999;-14.865799999999998;A;bench;heavy;86
11.1.2019 15:10;-0.227;0.891;-0.16999999999999998;touko.02;4.0;-0.37799999999999995;A;bench;heavy;86
11.1.2019 15:10;-0.22;0.9250000000000002;-0.20566666666666666;4.756;-0.04860000000000007;9.1828;A;bench;heavy;86
11.1.2019 15:10;-0.186;0.9445;-0.2175;-0.24359999999999998;-6.4512;13.1952;A;bench;heavy;86
11.1.2019 15:10;-0.14466666666666667;0.951;-0.17433333333333334;-8.7196;-3.2194000000000003;17.1098;A;bench;heavy;86
2019-01-11 15:10:23.000;-0.08;0.952;-0.14700000000000002;-12.305;3.9513999999999996;20.7196;A;bench;heavy;86
