Aika_ms,KokonaisG,DynaaminenG,SisainenNopeus,BLE_Nopeus
BLE connected -> ACTIVE MODE
81653,1.146,-0.289,-0.476,0.000
81673,1.326,-0.017,-0.404,0.000
81693,1.105,-0.274,-0.389,0.000
81714,0.862,-0.625,-0.440,0.000
81734,0.636,-0.739,-0.498,0.000
81754,0.913,-0.542,-0.500,0.000
81774,1.204,-0.354,-0.484,0.000
81795,1.136,-0.288,-0.462,0.000
81815,0.996,-0.506,-0.477,0.000
81835,1.010,-0.449,-0.480,0.000
81855,0.950,-0.454,-0.484,0.000
81876,1.051,-0.478,-0.495,0.000
81896,1.113,-0.418,-0.491,0.000
81916,1.032,-0.360,-0.477,0.000
81936,0.906,-0.436,-0.478,0.000
81957,1.049,-0.350,-0.468,0.000
81977,1.032,-0.314,-0.450,0.000
81997,0.970,-0.314,-0.435,0.000
82017,1.042,-0.242,-0.410,0.000
82038,1.051,-0.312,-0.403,0.000
82058,1.058,-0.396,-0.409,0.000
82078,1.153,-0.405,-0.415,0.000
82098,1.132,-0.468,-0.431,0.000
82119,1.043,-0.574,-0.467,0.000
82139,0.948,-0.729,-0.500,0.000
82159,0.984,-0.903,-0.500,0.000
82179,1.069,-0.856,-0.500,0.000
82200,1.144,-0.780,-0.500,0.000
82220,1.075,-0.770,-0.500,0.000
82240,0.960,-0.840,-0.500,0.000
82260,0.879,-0.850,-0.500,0.000
82281,0.911,-0.769,-0.500,0.000
82301,1.025,-0.794,-0.500,0.000
82321,1.115,-0.874,-0.500,0.000
82341,1.073,-0.856,-0.500,0.000
82362,1.020,-0.764,-0.500,0.000
82382,1.012,-0.834,-0.500,0.000
82402,0.904,-0.901,-0.500,0.000
82422,0.942,-0.831,-0.500,0.000
82443,1.046,-0.763,-0.500,0.000
82463,1.034,-0.790,-0.500,0.000
82483,1.040,-0.793,-0.500,0.000
82503,0.955,-0.800,-0.500,0.000
82524,0.942,-0.802,-0.500,0.000
82544,1.047,-0.814,-0.500,0.000
82564,1.087,-0.829,-0.500,0.000
82584,1.036,-0.811,-0.500,0.000
82605,0.951,-0.704,-0.500,0.000
82625,0.985,-0.717,-0.500,0.000
82645,0.966,-0.759,-0.500,0.000
82665,0.969,-0.804,-0.500,0.000
82686,0.995,-0.819,-0.500,0.000
82707,0.951,-0.842,-0.500,0.000
82727,0.999,-0.830,-0.500,0.000
82747,1.070,-0.766,-0.500,0.000
82768,1.017,-0.768,-0.500,0.000
82788,1.015,-0.780,-0.500,0.000
82808,1.297,-0.916,-0.500,0.000
82828,1.075,-0.710,-0.500,0.000
82849,0.787,-0.766,-0.500,0.000
82869,1.060,-0.802,-0.500,0.000
82889,1.023,-0.840,-0.500,0.000
82909,1.037,-0.787,-0.500,0.000
82930,1.025,-0.797,-0.500,0.000
82950,0.982,-0.834,-0.500,0.000
82970,0.949,-0.831,-0.500,0.000
82990,0.987,-0.807,-0.500,0.000
83011,0.947,-0.851,-0.500,0.000
83031,0.976,-0.803,-0.500,0.000
83051,1.008,-0.778,-0.500,0.000
83071,0.972,-0.793,-0.500,0.000
83092,0.943,-0.814,-0.500,0.000
83112,0.938,-0.849,-0.500,0.000
83132,1.100,-0.825,-0.500,0.000
83152,1.095,-0.798,-0.500,0.000
83173,1.019,-0.773,-0.500,0.000
83193,0.969,-0.767,-0.500,0.000
83213,0.854,-0.820,-0.500,0.000
83233,0.973,-0.798,-0.500,0.000
83254,1.073,-0.786,-0.500,0.000
83274,1.075,-0.768,-0.500,0.000
83294,1.084,-0.725,-0.500,0.000
83314,1.113,-0.755,-0.500,0.000
83335,0.994,-0.847,-0.500,0.000
83355,0.852,-0.733,-0.500,0.000
83375,1.038,-0.808,-0.500,0.000
83395,1.100,-0.876,-0.500,0.000
83416,0.954,-0.874,-0.500,0.000
83436,1.091,-0.930,-0.500,0.000
83456,1.088,-0.840,-0.500,0.000
83476,0.801,-0.800,-0.500,0.000
83497,1.087,-0.626,-0.500,0.000
83517,1.070,-0.835,-0.500,0.000
83537,1.010,-0.896,-0.500,0.000
83557,1.002,-0.826,-0.500,0.000
83578,1.025,-0.751,-0.500,0.000
83598,1.011,-0.817,-0.500,0.000
83618,0.981,-0.854,-0.500,0.000
83638,0.982,-0.830,-0.500,0.000
83659,1.001,-0.789,0.000,0.000
83679,0.979,-0.678,0.000,0.000
83699,0.997,-0.513,0.000,0.000
83719,1.029,-0.306,0.000,0.000
83740,0.956,-0.262,-0.046,0.000
83760,0.943,-0.333,-0.094,0.000
83780,1.048,-0.225,-0.118,0.000
83800,1.087,-0.194,-0.132,0.000
83821,0.986,-0.247,-0.156,0.000
83841,1.067,-0.111,-0.151,0.000
83861,1.012,-0.162,-0.155,0.000
83881,0.869,-0.318,-0.185,0.000
83902,0.921,-0.245,-0.200,0.000
83922,1.032,-0.168,-0.198,0.000
83942,0.968,-0.261,-0.212,0.000
83962,0.942,-0.291,-0.229,0.000
83983,0.965,-0.235,-0.236,0.000
84004,0.971,-0.247,-0.244,0.000
84024,0.982,-0.268,-0.252,0.000
84044,1.010,-0.201,-0.247,0.000
84065,1.083,-0.177,-0.241,0.000
84085,1.076,-0.226,-0.243,0.000
84105,1.056,-0.217,-0.243,0.000
84125,1.139,-0.173,-0.235,0.000
84146,1.133,-0.156,-0.227,0.000
84166,1.173,-0.114,-0.212,0.000
84186,1.032,-0.302,-0.231,0.000
84206,0.900,-0.495,-0.279,0.000
84227,0.949,-0.346,-0.297,0.000
84247,1.062,-0.174,-0.282,0.000
84267,1.061,-0.204,-0.274,0.000
